Date,Streamflow
1/1/01,114
1/2/01,112
1/3/01,110
1/4/01,108
1/5/01,112
1/6/01,116
1/7/01,113
1/8/01,106
1/9/01,100
1/10/01,92
1/11/01,94
1/12/01,96
1/13/01,100
1/14/01,110
1/15/01,120
1/16/01,339
1/17/01,332
1/18/01,306
1/19/01,277
1/20/01,200
1/21/01,160
1/22/01,140
1/23/01,130
1/24/01,120
1/25/01,115
1/26/01,110
1/27/01,108
1/28/01,106
1/29/01,105
1/30/01,557
1/31/01,1380
2/1/01,1150
2/2/01,853
2/3/01,595
2/4/01,409
2/5/01,316
2/6/01,272
2/7/01,240
2/8/01,600
2/9/01,1600
2/10/01,3610
2/11/01,2940
2/12/01,1560
2/13/01,1060
2/14/01,909
2/15/01,1230
2/16/01,891
2/17/01,670
2/18/01,492
2/19/01,422
2/20/01,368
2/21/01,325
2/22/01,286
2/23/01,264
2/24/01,253
2/25/01,1550
2/26/01,2220
2/27/01,1180
2/28/01,790
3/1/01,577
3/2/01,446
3/3/01,373
3/4/01,325
3/5/01,289
3/6/01,256
3/7/01,253
3/8/01,228
3/9/01,211
3/10/01,195
3/11/01,195
3/12/01,187
3/13/01,194
3/14/01,190
3/15/01,182
3/16/01,175
3/17/01,186
3/18/01,227
3/19/01,264
3/20/01,249
3/21/01,223
3/22/01,201
3/23/01,193
3/24/01,182
3/25/01,160
3/26/01,146
3/27/01,139
3/28/01,133
3/29/01,132
3/30/01,129
3/31/01,126
4/1/01,129
4/2/01,122
4/3/01,117
4/4/01,112
4/5/01,107
4/6/01,960
4/7/01,1930
4/8/01,1030
4/9/01,678
4/10/01,503
4/11/01,606
4/12/01,715
4/13/01,471
4/14/01,348
4/15/01,317
4/16/01,373
4/17/01,332
4/18/01,274
4/19/01,239
4/20/01,234
4/21/01,259
4/22/01,330
4/23/01,294
4/24/01,266
4/25/01,228
4/26/01,200
4/27/01,182
4/28/01,160
4/29/01,144
4/30/01,138
5/1/01,138
5/2/01,132
5/3/01,121
5/4/01,116
5/5/01,107
5/6/01,96
5/7/01,93
5/8/01,107
5/9/01,100
5/10/01,91
5/11/01,84
5/12/01,85
5/13/01,78
5/14/01,72
5/15/01,97
5/16/01,137
5/17/01,159
5/18/01,151
5/19/01,371
5/20/01,232
5/21/01,160
5/22/01,134
5/23/01,110
5/24/01,139
5/25/01,268
5/26/01,247
5/27/01,499
5/28/01,492
5/29/01,294
5/30/01,211
5/31/01,165
6/1/01,155
6/2/01,231
6/3/01,327
6/4/01,222
6/5/01,283
6/6/01,827
6/7/01,928
6/8/01,553
6/9/01,346
6/10/01,244
6/11/01,193
6/12/01,167
6/13/01,157
6/14/01,139
6/15/01,118
6/16/01,164
6/17/01,126
6/18/01,103
6/19/01,96
6/20/01,126
6/21/01,123
6/22/01,384
6/23/01,220
6/24/01,201
6/25/01,142
6/26/01,112
6/27/01,96
6/28/01,85
6/29/01,77
6/30/01,79
7/1/01,68
7/2/01,59
7/3/01,62
7/4/01,79
7/5/01,80
7/6/01,60
7/7/01,54
7/8/01,54
7/9/01,52
7/10/01,50
7/11/01,45
7/12/01,41
7/13/01,39
7/14/01,37
7/15/01,35
7/16/01,32
7/17/01,33
7/18/01,40
7/19/01,36
7/20/01,33
7/21/01,31
7/22/01,46
7/23/01,40
7/24/01,69
7/25/01,57
7/26/01,88
7/27/01,45
7/28/01,35
7/29/01,31
7/30/01,29
7/31/01,29
8/1/01,28
8/2/01,28
8/3/01,35
8/4/01,29
8/5/01,25
8/6/01,23
8/7/01,23
8/8/01,22
8/9/01,47
8/10/01,77
8/11/01,34
8/12/01,26
8/13/01,22
8/14/01,21
8/15/01,20
8/16/01,22
8/17/01,36
8/18/01,25
8/19/01,31
8/20/01,29
8/21/01,25
8/22/01,44
8/23/01,638
8/24/01,297
8/25/01,148
8/26/01,96
8/27/01,71
8/28/01,57
8/29/01,47
8/30/01,40
8/31/01,42
9/1/01,34
9/2/01,29
9/3/01,27
9/4/01,25
9/5/01,27
9/6/01,26
9/7/01,27
9/8/01,41
9/9/01,40
9/10/01,140
9/11/01,70
9/12/01,47
9/13/01,38
9/14/01,35
9/15/01,30
9/16/01,27
9/17/01,26
9/18/01,35
9/19/01,82
9/20/01,105
9/21/01,63
9/22/01,47
9/23/01,40
9/24/01,45
9/25/01,44
9/26/01,37
9/27/01,34
9/28/01,32
9/29/01,30
9/30/01,27
10/1/01,26
10/2/01,27
10/3/01,27
10/4/01,25
10/5/01,63
10/6/01,276
10/7/01,158
10/8/01,97
10/9/01,72
10/10/01,60
10/11/01,127
10/12/01,1350
10/13/01,1910
10/14/01,1480
10/15/01,1820
10/16/01,1650
10/17/01,2640
10/18/01,1640
10/19/01,1020
10/20/01,714
10/21/01,541
10/22/01,987
10/23/01,1320
10/24/01,1520
10/25/01,1840
10/26/01,1310
10/27/01,797
10/28/01,582
10/29/01,454
10/30/01,379
10/31/01,333
11/1/01,298
11/2/01,278
11/3/01,269
11/4/01,243
11/5/01,219
11/6/01,204
11/7/01,192
11/8/01,179
11/9/01,163
11/10/01,153
11/11/01,148
11/12/01,137
11/13/01,130
11/14/01,126
11/15/01,124
11/16/01,120
11/17/01,114
11/18/01,109
11/19/01,107
11/20/01,103
11/21/01,98
11/22/01,94
11/23/01,89
11/24/01,89
11/25/01,284
11/26/01,278
11/27/01,213
11/28/01,212
11/29/01,482
11/30/01,1650
12/1/01,1760
12/2/01,958
12/3/01,652
12/4/01,475
12/5/01,382
12/6/01,323
12/7/01,278
12/8/01,243
12/9/01,218
12/10/01,195
12/11/01,177
12/12/01,165
12/13/01,223
12/14/01,469
12/15/01,1380
12/16/01,851
12/17/01,1430
12/18/01,1900
12/19/01,1080
12/20/01,716
12/21/01,517
12/22/01,410
12/23/01,384
12/24/01,345
12/25/01,289
12/26/01,246
12/27/01,224
12/28/01,209
12/29/01,184
12/30/01,165
12/31/01,150
1/1/02,143
1/2/02,134
1/3/02,127
1/4/02,120
1/5/02,115
1/6/02,117
1/7/02,113
1/8/02,106
1/9/02,108
1/10/02,110
1/11/02,112
1/12/02,107
1/13/02,106
1/14/02,102
1/15/02,105
1/16/02,100
1/17/02,100
1/18/02,93
1/19/02,90
1/20/02,87
1/21/02,87
1/22/02,84
1/23/02,91
1/24/02,94
1/25/02,93
1/26/02,92
1/27/02,88
1/28/02,88
1/29/02,97
1/30/02,333
1/31/02,1310
2/1/02,2700
2/2/02,2400
2/3/02,1380
2/4/02,942
2/5/02,688
2/6/02,543
2/7/02,446
2/8/02,393
2/9/02,347
2/10/02,333
2/11/02,319
2/12/02,298
2/13/02,273
2/14/02,248
2/15/02,238
2/16/02,229
2/17/02,226
2/18/02,204
2/19/02,200
2/20/02,240
2/21/02,348
2/22/02,319
2/23/02,275
2/24/02,257
2/25/02,239
2/26/02,244
2/27/02,246
2/28/02,220
